date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:40	17963/17963	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:07:11%20GMT	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/register.html	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/register.html	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:40	30368/30368	---M--	200	added ('OK')	image/jpeg	etag:%221573816691%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/about.jpg	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/about.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:41	42065/42065	---M--	200	added ('OK')	image/png	etag:%221558943530%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/img.png	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/img.png	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:41	137089/137089	---M--	200	added ('OK')	image/png	etag:%221558943530%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/img3.png	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/img3.png	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:42	564/564	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:07:13%20GMT	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/single.html	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/single.html	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:42	46261/46261	---M--	200	added ('OK')	image/jpeg	etag:%221573816691%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g1.jpg	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:42	56432/56432	---M--	200	added ('OK')	image/jpeg	etag:%221573816691%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g2.jpg	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:42	70854/70854	---M--	200	added ('OK')	image/jpeg	etag:%221573816692%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g3.jpg	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:43	86865/86865	---M--	200	added ('OK')	image/jpeg	etag:%221573816691%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g4.jpg	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g4.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:43	36940/36940	---M--	200	added ('OK')	image/jpeg	etag:%221573816692%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g5.jpg	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g5.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:43	64341/64341	---M--	200	added ('OK')	image/jpeg	etag:%221573816692%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g6.jpg	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/g6.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:43	15207/15207	---M--	200	added ('OK')	image/jpeg	etag:%221573816691%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/te1.jpg	C:/Users/ABUDHABI/Downloads/ecommerce/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/images/te1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
13:06:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2012%20Jun%202021%2012:07:15%20GMT	http://a.vdo.ai/core/v-w3layouts/vdo.ai.js	C:/Users/ABUDHABI/Downloads/ecommerce/a.vdo.ai/core/v-w3layouts/vdo.ai.16.delayed	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html?_ga=2.252161161.1420195024.1622798173-1503908104.1622798172)
